subpath_name;asset_id;city
hIVBcjlPvXFMVTDNnJq9-128_hIVBcjlPvXFMVTDNnJq9-122;10TYGPPL024;mam-beijing
hIVBcjlPvXFMVTDNnJq9-126_hIVBcjlPvXFMVTDNnJq9-122;10TYGPPL013;mam-beijing
V2IHwcaX0edJzOXilJwk-96_V2IHwcaX0edJzOXilJwk-91;10SYQDWASTI001;mam-beijing
V2IHwcaX0edJzOXilJwk-96_V2IHwcaX0edJzOXilJwk-90;10SYQDWASTI001;mam-beijing
V2IHwcaX0edJzOXilJwk-90_V2IHwcaX0edJzOXilJwk-95;10SYQSHPILLA006;mam-beijing
V2IHwcaX0edJzOXilJwk-91_V2IHwcaX0edJzOXilJwk-94;10SYQSHPILLA002;mam-beijing
V2IHwcaX0edJzOXilJwk-93_V2IHwcaX0edJzOXilJwk-105;10SYQPPL001;mam-beijing
V2IHwcaX0edJzOXilJwk-92_V2IHwcaX0edJzOXilJwk-104;10SYQPPL013;mam-beijing
V2IHwcaX0edJzOXilJwk-113_V2IHwcaX0edJzOXilJwk-115;10SYQPPL001;mam-beijing
V2IHwcaX0edJzOXilJwk-112_V2IHwcaX0edJzOXilJwk-114;10SYQPPL024;mam-beijing
V2IHwcaX0edJzOXilJwk-111_V2IHwcaX0edJzOXilJwk-114;10SYQPPL013;mam-beijing
V2IHwcaX0edJzOXilJwk-117_V2IHwcaX0edJzOXilJwk-119;10SYQDWASTI001;mam-beijing
V2IHwcaX0edJzOXilJwk-116_V2IHwcaX0edJzOXilJwk-118;10SYQSHPILLA006;mam-beijing
V2IHwcaX0edJzOXilJwk-134_V2IHwcaX0edJzOXilJwk-117;10SYQSHPILLA002;mam-beijing
V2IHwcaX0edJzOXilJwk-131_V2IHwcaX0edJzOXilJwk-115;10SYQPPL034;mam-beijing
V2IHwcaX0edJzOXilJwk-118_V2IHwcaX0edJzOXilJwk-119;10SYQDWASTI001;mam-beijing
E2jzligH5LDiQCch9Sfj-135_E2jzligH5LDiQCch9Sfj-139;10LMQB135LED001;mam-beijing
E2jzligH5LDiQCch9Sfj-137_E2jzligH5LDiQCch9Sfj-139;10LMQACPA001;mam-beijing
E2jzligH5LDiQCch9Sfj-136_E2jzligH5LDiQCch9Sfj-140;10LMQCCPA001;mam-beijing
E2jzligH5LDiQCch9Sfj-138_E2jzligH5LDiQCch9Sfj-140;10LMQDCPA001;mam-beijing
