asset_id;hour_from;hour_to;station_id
01JSBWGACP007;6:00;22:00;108
01JSBWGACP008;6:00;22:00;108
01JSBWGDCP001;6:00;22:00;108
01JSBWGDCP002;6:00;22:00;108
01JSBWGDCP003;6:00;22:00;108
01JSBWGDCP004;6:00;22:00;108
01JSBWGDCP005;6:00;22:00;108
01JSBWGDCP006;6:00;22:00;108
01JSBWGDCP007;6:00;22:00;108
01JSBWGDCP008;6:00;22:00;108
01JSBWGDCP009;6:00;22:00;108
01JSBWGDCP010;6:00;22:00;108
01JSBWGDCP011;6:00;22:00;108
01JSBWGDCP012;6:00;22:00;108
01JSBWGDCP013;6:00;22:00;108
01JSBWGDCP014;6:00;22:00;108
01JSBWGBCP001;6:00;22:00;108
01JSBWGBCP002;6:00;22:00;108
01JSBWGBCP010;6:00;22:00;108
01JSBWGBCP011;6:00;22:00;108
01JSBWGCCP001;6:00;22:00;108
01JSBWGCCP002;6:00;22:00;108
01JSBWGCCP003;6:00;22:00;108
01JSBWGCCP004;6:00;22:00;108
01JSBWGCCP005;6:00;22:00;108
01JSBWGCCP006;6:00;22:00;108
01JSBWGCCP007;6:00;22:00;108
01JSBWGCCP008;6:00;22:00;108
01JSBWGCCP009;6:00;22:00;108
01JSBWGCCP010;6:00;22:00;108
01JSBWGCCP011;6:00;22:00;108
01JSBWGCCP012;6:00;22:00;108
01JSBWGCCP013;6:00;22:00;108
01JSBWGCCP014;6:00;22:00;108
01JSBWGEPSLSTI001;6:00;22:00;108
01JSBWGWPWASTI001;6:00;22:00;108
01MXDPPL001;6:00;22:00;109
01MXDPPL002;6:00;22:00;109
01MXDPPL003;6:00;22:00;109
01MXDPPL004;6:00;22:00;109
01MXDPPL005;6:00;22:00;109
01MXDPPL006;6:00;22:00;109
01MXDPPL007;6:00;22:00;109
01MXDPPL008;6:00;22:00;109
01MXDPPL009;6:00;22:00;109
01MXDPPL010;6:00;22:00;109
01MXDPPL011;6:00;22:00;109
01MXDPPL012;6:00;22:00;109
01MXDPPL013;6:00;22:00;109
01MXDPPL014;6:00;22:00;109
01MXDPPL015;6:00;22:00;109
01MXDPPL016;6:00;22:00;109
01MXDPPL017;6:00;22:00;109
01MXDPPL018;6:00;22:00;109
01MXDPPL019;6:00;22:00;109
01MXDPPL020;6:00;22:00;109
01MXDPPL021;6:00;22:00;109
01MXDPPL022;6:00;22:00;109
01MXDPPL023;6:00;22:00;109
01MXDPPL024;6:00;22:00;109
01MXDPPL025;6:00;22:00;109
01MXDPPL026;6:00;22:00;109
01MXDPPL027;6:00;22:00;109
01MXDPPL028;6:00;22:00;109
01MXDPPL029;6:00;22:00;109
01MXDPPL030;6:00;22:00;109
01MXDPPL031;6:00;22:00;109
01MXDPPL032;6:00;22:00;109
01MXDACP001;6:00;22:00;109
01MXDACP002;6:00;22:00;109
01MXDACP003;6:00;22:00;109
01MXDACP004;6:00;22:00;109
01MXDACP005;6:00;22:00;109
01MXDACP006;6:00;22:00;109
01MXDACP007;6:00;22:00;109
01MXDACP008;6:00;22:00;109
01MXDACP009;6:00;22:00;109
01MXDACP010;6:00;22:00;109
01MXDACP011;6:00;22:00;109
01MXDACP012;6:00;22:00;109
01MXDACP013;6:00;22:00;109
01MXDACP014;6:00;22:00;109
01MXDACP015;6:00;22:00;109
01MXDACP016;6:00;22:00;109
01MXDACP017;6:00;22:00;109
01MXDACP018;6:00;22:00;109
01MXDACP019;6:00;22:00;109
01MXDACP020;6:00;22:00;109
01MXDACP021;6:00;22:00;109
01MXDACP022;6:00;22:00;109
01MXDACP023;6:00;22:00;109
01MXDACP024;6:00;22:00;109
01MXDDCP001;6:00;22:00;109
01MXDDCP002;6:00;22:00;109
01MXDBCP001;6:00;22:00;109
01MXDBCP002;6:00;22:00;109
01MXDBCP003;6:00;22:00;109
01MXDBCP004;6:00;22:00;109
01MXDBCP005;6:00;22:00;109
01MXDBCP006;6:00;22:00;109
