station_id;year;month;departure;arrival
709;2021;11;235810.5;235810.5
709;2021;12;235810.5;235810.5
710;2022;1;116615;116615
710;2022;2;29880.5;29880.5
710;2022;3;35267;35267
710;2022;4;34466;34466
710;2022;5;34211;34211
710;2022;6;26697.5;26697.5
710;2021;7;28188;28188
710;2021;8;143252;143252
710;2021;9;129075.5;129075.5
710;2021;10;130898.5;130898.5
710;2021;11;134632;134632
710;2021;12;133787;133787
711;2022;1;294218;294218
711;2022;2;224097.5;224097.5
711;2022;3;276115;276115
711;2022;4;263331;263331
711;2022;5;267610;267610
711;2022;6;259595;259595
711;2021;7;260897.5;260897.5
711;2021;8;285802;285802
711;2021;9;272832.5;272832.5
711;2021;10;263226;263226
711;2021;11;280235;280235
711;2021;12;288153;288153
712;2022;1;13156.5;13156.5
712;2022;2;282431;282431
712;2022;3;326677.5;326677.5
712;2022;4;312274.5;312274.5
712;2022;5;309573;309573
712;2022;6;299339;299339
712;2021;7;325677.5;325677.5
712;2021;8;307754;307754
712;2021;9;283458;283458
712;2021;10;284771.5;284771.5
712;2021;11;303854;303854
712;2021;12;280844;280844
713;2022;1;274111;274111
713;2022;2;213037;213037
713;2022;3;227694.5;227694.5
713;2022;4;263221;263221
713;2022;5;260265.5;260265.5
713;2022;6;268168;268168
713;2021;7;302775.5;302775.5
713;2021;8;406510;406510
713;2021;9;335045;335045
713;2021;10;340220;340220
713;2021;11;295444;295444
713;2021;12;272327.5;272327.5
714;2022;1;247085.5;247085.5
714;2022;2;171851;171851
714;2022;3;205045;205045
714;2022;4;206156;206156
714;2022;5;201003;201003
714;2022;6;189578;189578
714;2021;7;202657.5;202657.5
714;2021;8;275549.5;275549.5
714;2021;9;248302.5;248302.5
714;2021;10;253306;253306
714;2021;11;259382;259382
714;2021;12;261482.5;261482.5
715;2022;1;70609.5;70609.5
715;2022;2;105025.5;105025.5
715;2022;3;122176;122176
715;2022;4;115703.5;115703.5
715;2022;5;115360;115360
715;2022;6;110896;110896
715;2021;7;113262.5;113262.5
715;2021;8;96658;96658
715;2021;9;90964;90964
715;2021;10;92662;92662
715;2021;11;100420;100420
715;2021;12;102958.5;102958.5
716;2022;1;558676;558676
716;2022;2;511098;511098
716;2022;3;590978.5;590978.5
716;2022;4;555841;555841
716;2022;5;553535.5;553535.5
716;2022;6;546662.5;546662.5
716;2021;7;580559.5;580559.5
716;2021;8;606122;606122
716;2021;9;559629;559629
716;2021;10;550827.5;550827.5
716;2021;11;587195.5;587195.5
716;2021;12;610105.5;610105.5
717;2022;1;295993;295993
717;2022;2;271353.5;271353.5
717;2022;3;305215.5;305215.5
717;2022;4;291360;291360
717;2022;5;289193.5;289193.5
717;2022;6;285576;285576
717;2021;7;303183.5;303183.5
717;2021;8;334248.5;334248.5
717;2021;9;305120.5;305120.5
717;2021;10;304944;304944
717;2021;11;313844;313844
717;2021;12;322245.5;322245.5
718;2022;1;865899.5;865899.5
718;2022;2;818180;818180
718;2022;3;849861;849861
718;2022;4;831697.5;831697.5
718;2022;5;802819;802819
718;2022;6;819692.5;819692.5
718;2021;7;921483.5;921483.5
718;2021;8;968863.5;968863.5
718;2021;9;888245;888245
718;2021;10;844984;844984
718;2021;11;895364;895364
718;2021;12;945432.5;945432.5
719;2022;1;1092439;1092439
719;2022;2;893290.5;893290.5
